Source.Name,Area,rooms,type,City_District,Date
new building.csv,86,3,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,92,3,secondary,"Tashkent, Yakkasarai district",6/27/2023
new building.csv,92,3,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,91,3,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,84,3,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,83,3,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,84,3,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,90,3,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,100,3,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,90,3,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,84,3,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,84,3,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,110,3,secondary,"Tashkent, Yakkasarai district",6/27/2023
new building.csv,86,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/26/2021
new building.csv,95,4,secondary,"Tashkent, Yunusabad district",6/26/2021
new building.csv,85,4,secondary,"Tashkent, Chilanzar district",6/26/2021
new building.csv,152,4,secondary,"Tashkent, Yunusabad district",6/26/2021
new building.csv,84,4,secondary,"Tashkent, Mirabad district",6/26/2021
new building.csv,76,4,secondary,"Tashkent, Yunusabad district",6/26/2021
new building.csv,78,4,secondary,"Tashkent, Chilanzar district",6/26/2021
new building.csv,92,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/26/2021
new building.csv,84,4,secondary,"Tashkent, Chilanzar district",6/26/2021
new building.csv,164,4,secondary,"Tashkent, Mirabad district",6/26/2021
new building.csv,95,4,secondary,"Tashkent, Shaikhantahur district",6/26/2021
new building.csv,84,4,secondary,"Tashkent, Chilanzar district",6/26/2021
new building.csv,84,4,secondary,"Tashkent, Chilanzar district",6/26/2021
new building.csv,135,4,secondary,"Tashkent, Yakkasarai district",6/26/2021
new building.csv,78,4,secondary,"Tashkent, Chilanzar district",6/26/2021
new building.csv,82,4,secondary,"Tashkent, Yunusabad district",6/26/2021
new building.csv,82,4,secondary,"Tashkent, Uchtepinsky district",6/27/2023
new building.csv,92,4,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,120,4,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,92,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,100,4,secondary,"Tashkent, Yashnabad district",6/27/2023
new building.csv,152,4,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,78,4,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,93,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,96,4,secondary,"Tashkent, Shaikhantahur district",6/27/2023
new building.csv,75,4,secondary,"Tashkent, Yakkasarai district",6/27/2023
new building.csv,100,4,secondary,"Tashkent, Shaikhantahur district",6/27/2023
new building.csv,100,4,secondary,"Tashkent, Uchtepinsky district",6/27/2023
new building.csv,90,4,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,85,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,82,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,96,4,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,174,4,secondary,"Tashkent, Yakkasarai district",6/27/2023
new building.csv,92,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,100,4,secondary,"Tashkent, Shaikhantahur district",6/27/2023
new building.csv,94,4,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,115,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,90,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,86,4,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,100,4,secondary,"Tashkent, Shaikhantahur district",6/27/2023
new building.csv,100,4,secondary,"Tashkent, Yashnabad district",6/27/2023
new building.csv,77,4,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,84,4,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,95,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,95,4,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,98,4,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,98,4,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,85,4,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,130,4,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,110,4,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,91,4,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,90,4,secondary,"Tashkent, Yakkasarai district",6/27/2023
new building.csv,110,4,secondary,"Tashkent, Yashnabad district",6/27/2023
new building.csv,221,4,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,90,4,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,84,4,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,92,4,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,100,5,secondary,"Tashkent, Almazar district",6/27/2023
new building.csv,90,5,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,152,5,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,100,5,secondary,"Tashkent, Sergeli district",6/27/2023
new building.csv,100,5,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,75,5,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,102,5,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,80,5,secondary,"Tashkent, Yashnabad district",6/27/2023
