Size,Latitude,Longitude,price
72,41.3616967,69.2817965,100000
85,41.3059159,69.1601855,52500
65,41.3653679,69.2773236,44000
65,41.2573956,69.1959189,56600
46,41.2948119,69.2087824,42000
60.94,41.3292204,69.3473509,36542
165,41.2788072,69.3057451,264999
215,41.2759614,69.2953473,259999
59,41.2671043,69.3139155,26500
66.82,41.3146381,69.3228615,65000
98,41.2773103,69.2152083,70000
148,41.3550649,69.3585936,134445
92,41.3112269,69.2701272,46000
128,41.2758912,69.2937133,87000
86,41.2824708,69.2287251,87950
93,41.3017691,69.2441976,136500
70,41.3112269,69.2701272,48000
56,41.2847707,69.2288981,37500
95,41.3292204,69.3473509,78000
100,41.3093806,69.2675864,150000
97,41.3292204,69.3473509,80000
130,41.3317732,69.324458,98500
67,41.3653679,69.2773236,42000
95,41.3427418,69.3875774,50000
62,41.3197131,69.2773236,55000
75,41.2801633,69.2569758,70000
70,41.2911414,69.2601933,81999
59,41.294821,69.3659745,22534
55,41.3700057,69.2892434,43000
59,41.3671612,69.2724811,37000
44,41.2606228,69.1638237,29500
30,41.320933,69.257071,38500
56,41.2847707,69.2288981,38000
160,41.2978921,69.1804708,159000
70,41.2991561,69.2785087,83000
164,41.34932,69.3860684,170400
200,41.2606228,69.1638237,231000
68,41.2606228,69.1638237,90000
115,41.3825869,69.3019081,64000
60,41.3292204,69.3473509,134000
100,41.3550649,69.3585936,88000
154,41.3606566,69.3548004,153000
105,41.2910722,69.2769129,125000
70,41.3169199,69.3279791,87000
137,41.31512,69.3234929,105000
136,41.3080076,69.3078679,187670
152,41.2854202,69.2631768,167200
167.36,41.2994958,69.2400734,228000
65,41.2901628,69.1968618,75890
130,41.3209122,69.303727,115000
110,41.314662,69.293391,125000
61,41.2911414,69.2601933,153000
140,41.28449,69.2868879,143700
156,41.2758912,69.2937133,216000
54,41.2916859,69.2177228,37500
146,41.3298867,69.2803036,154962
148,41.2857552,69.2117625,161000
68,41.2916859,69.2177228,146580
145,41.3653679,69.2773236,178000
176,41.3086111,69.2691667,60000
172,41.3531944,69.3519255,111600
181,41.2877746,69.2612589,68500
146,41.3576548,69.3675816,163000
71,41.3576548,69.3675816,140200
167,41.2710841,69.1849411,171400
157,41.2801633,69.2569758,174090
160,41.3709551,69.307123,162390
162,41.3707855,69.3190425,151990
57,41.3716355,69.2691287,102000
75,41.3298867,69.2803036,80000
62,41.3587493,69.2996732,77000
168,41.2765672,69.2460335,195800
154,41.305712,69.2387696,104000
70,41.3298867,69.2803036,68000
54,41.3683947,69.2646587,78900
50,41.3716355,69.2691287,78950
50,41.3683947,69.2646587,78800
60,41.259418,69.1804708,78905
60,41.259418,69.1804708,41500
68,41.2901628,69.1968618,41000
50,41.259418,69.1804708,34500
50,41.259418,69.1804708,32500
60,41.259418,69.1804708,38000
122,41.3245206,69.2773236,134000
88,41.2765672,69.2460335,45500
118,41.2818558,69.2552666,102711
55,41.3587493,69.2996732,42500
60,41.3707855,69.3190425,34000
47,41.2818558,69.2552666,47500
78,41.3692799,69.2981832,34000
62,41.2818558,69.2552666,42000
50,41.3683947,69.2646587,34000
60,41.374408,69.2771853,34000
60,41.3716355,69.2691287,34500
78,41.3692799,69.2981832,33998
50,41.3683947,69.2646587,34000
60,41.374408,69.2771853,34000
75,41.3052221,69.2898134,64700
82,41.3197131,69.2773236,85500
36,41.259418,69.1804708,101300
36,41.2857552,69.2117625,76254
42,41.259418,69.1804708,87123
46,41.259418,69.1804708,31500
50,41.259418,69.1804708,36000
75,41.2774311,69.2409026,55000
75,41.2881302,69.1880751,60000
64,41.3587493,69.2996732,37000
60,41.3050864,69.260746,47000
90,41.3298867,69.2803036,53000
86,41.3520511,69.3425087,50000
72,41.347516,69.3396301,46000
105,41.2978921,69.1804708,85000
34,41.2865169,69.240584,110000
28,41.339688,69.340163,89000
47,41.2885649,69.2290098,54600
42,41.2855934,69.223683,39600
110,41.2885649,69.2290098,160000
40,41.2907835,69.2361597,42000
50,41.2807837,69.223683,40500
29,41.2855934,69.223683,65400
42,41.2855934,69.223683,49876
42,41.2855934,69.223683,64500
65,41.2967186,69.2201916,79400
65,41.3802576,69.3696992,76000
